sample_id,sample_date,no3_n,k,mg,ca,nh4_n
Q1,1991-03-19,158,0.81,3.25,6.1,NA
Q1,1991-03-22,NA,NA,NA,NA,NA
Q1,1991-03-26,113,0.71,3.1,5.84,NA
Q1,1991-04-02,78,0.75,3.27,5.99,NA
Q1,1991-04-09,36,0.77,3.13,5.59,NA
Q1,1991-04-15,23,0.9,3.01,5.25,NA
Q1,1991-04-23,19,0.93,3.14,5.51,NA
Q1,1991-04-30,31,0.78,1.92,3.13,NA
Q1,1991-05-07,70,0.89,3,5.62,NA
Q1,1991-05-14,10,0.96,3.01,5.76,NA
Q1,1991-05-21,10,0.89,3.09,5.4,NA
Q1,1991-05-28,22,0.89,3.11,5.26,NA
Q1,1991-05-31,NA,0.92,3.06,5.21,NA
Q1,1991-06-01,NA,NA,NA,NA,NA
Q1,1991-06-04,136,0.92,3.06,5.26,NA
Q1,1991-06-11,73,1.15,3.14,5.36,NA
Q1,1991-06-18,55,0.87,3.01,5.36,NA
Q1,1991-06-25,NA,0.92,3.08,5.14,NA
Q1,1991-07-02,63,1.17,3.09,5.01,NA
Q1,1991-07-09,69,0.89,2.82,5.28,NA
Q1,1991-07-16,10,0.52,3.17,5.86,NA
Q1,1991-07-23,10,0.25,3.42,5.89,NA
Q1,1991-07-30,10,0.69,3.32,5.86,NA
Q1,1991-08-06,10,0.83,4.17,6.07,NA
Q1,1991-08-13,NA,0.74,4.32,6.13,NA
Q1,1991-08-20,17,0.79,4.3,7.07,NA
Q1,1991-08-27,15,0.92,3.25,5.41,NA
Q1,1991-08-27,130,1.42,1.7,2.86,NA
Q1,1991-09-03,69,0.95,3.36,5.27,NA
Q1,1991-09-10,75,2.56,7,12.1,NA
Q1,1991-09-17,31,0.97,3.17,4.98,NA
Q1,1991-09-24,65,0.99,3.4,5.6,NA
Q1,1991-10-01,83,0.97,3.24,4.87,NA
Q1,1991-10-08,69,1.11,3.45,5.15,NA
Q1,1991-10-15,81,0.97,3.27,5.09,NA
Q1,1991-10-22,74,0.79,3.71,5.22,NA
Q1,1991-10-29,54,0.73,3.51,4.8,NA
Q1,1991-11-05,100,1.15,2.57,4.88,NA
Q1,1991-11-07,44,1.77,1.19,1.55,NA
Q1,1991-11-08,57,1.2,1.49,2.17,NA
Q1,1991-11-12,150,1.33,3.46,5.29,NA
Q1,1991-11-18,85,0.94,3.3,6.25,NA
Q1,1991-11-22,104,1.52,1.33,1.94,NA
Q1,1991-11-26,145,1.21,3.04,4.56,NA
Q1,1991-12-03,100,1.1,2.53,3.62,NA
Q1,1991-12-10,338,0.99,3.03,4.81,NA
Q1,1991-12-17,167,1.05,3.07,4.62,NA
Q1,1991-12-23,164,1.05,3.08,5.86,NA
Q1,1991-12-30,NA,1.09,3.37,5.81,NA
Q1,1992-01-07,216,1.31,2.82,4.82,NA
Q1,1992-01-14,200,1.18,3.15,5.59,NA
Q1,1992-01-21,177,1.35,3.32,5.68,NA
Q1,1992-01-28,171,1.29,3.16,5.47,NA
Q1,1992-02-04,324,1.3,2.29,2.81,NA
Q1,1992-02-06,17,1.59,2.3,4.01,NA
Q1,1992-02-11,101,1.04,3.33,4.77,NA
Q1,1992-02-18,291,1.01,3.22,5.78,NA
Q1,1992-02-25,138,0.99,3.47,5.75,NA
Q1,1992-03-03,174,1.13,3.84,8.48,NA
Q1,1992-03-10,10,1.06,3.15,5.11,NA
Q1,1992-03-17,133,1.1,3.3,6.08,NA
Q1,1992-03-24,NA,1.01,3.22,5.5,NA
Q1,1992-04-01,87,1.56,2.95,4.48,NA
Q1,1992-04-07,36,0.75,5.53,8.77,NA
Q1,1992-04-14,11,1.03,3.22,5.76,NA
Q1,1992-04-21,49,1.37,3.53,6.85,NA
Q1,1992-04-28,30,0.44,2.37,4.24,NA
Q1,1992-05-05,27,1.07,3.13,5.32,NA
Q1,1992-05-12,137,0.97,3.37,5.64,NA
Q1,1992-05-19,128,0.92,3.28,5.3,NA
Q1,1992-05-26,NA,1.35,2.54,4.21,NA
Q1,1992-06-02,66,1.34,1.49,2.24,NA
Q1,1992-06-09,10,1,3.09,5.32,NA
Q1,1992-06-16,27,1.21,1.58,2.54,NA
Q1,1992-06-23,32,0.98,2.46,3.92,NA
Q1,1992-06-30,31,1.15,3.27,5.49,NA
Q1,1992-07-07,111,1.14,3.32,5.58,NA
Q1,1992-07-14,41,1.32,3.68,6.34,NA
Q1,1992-07-21,NA,1.09,3.4,5.72,NA
Q1,1992-07-28,148,1.18,3.48,5.94,NA
Q1,1992-08-04,359,1.11,3.41,6.04,NA
Q1,1992-08-11,26,1.13,1.9,3.06,NA
Q1,1992-08-18,27,1.09,3.34,5.98,NA
Q1,1992-08-25,382,1.11,3.41,6.31,NA
Q1,1992-09-01,10,1,3.77,6.51,NA
Q1,1992-09-08,10,1.17,2.39,4.24,NA
Q1,1992-09-15,16,1.36,4.61,7.98,NA
Q1,1992-09-22,10,1.06,2.93,5.03,NA
Q1,1992-09-29,84,1,3.37,6.1,NA
Q1,1992-10-06,288,0.95,3.54,6.4,NA
Q1,1992-10-13,NA,1.27,4.27,7.35,NA
Q1,1992-10-20,56,0.87,3.45,6.16,NA
Q1,1992-10-27,NA,0.91,3.33,6.03,NA
Q1,1992-11-03,10,1.04,3.08,5.47,NA
Q1,1992-11-10,135,1.11,2.22,3.58,NA
Q1,1992-11-17,20,0.41,1.06,3.02,NA
Q1,1992-11-24,16,1.14,3.15,5.3,NA
Q1,1992-12-01,9,1.19,2.92,5.15,NA
Q1,1992-12-08,15,1.06,3.16,5.11,NA
Q1,1992-12-15,26,0.41,1.31,3.97,NA
Q1,1992-12-22,NA,NA,NA,NA,NA
Q1,1992-12-22,NA,NA,NA,NA,NA
Q1,1992-12-22,NA,1.25,2.75,4.63,NA
Q1,1992-12-29,NA,1.05,2.81,4.66,NA
Q1,1993-01-05,NA,1.44,4.25,7.11,NA
Q1,1993-01-12,NA,1.14,2.98,5.17,NA
Q1,1993-01-19,NA,1.14,2.9,4.28,NA
Q1,1993-01-26,NA,1.18,2.73,4.01,NA
Q1,1993-02-02,NA,1.07,3.19,4.67,NA
Q1,1993-02-09,NA,1,3.15,4.78,NA
Q1,1993-02-16,NA,1.09,3.15,4.84,NA
Q1,1993-02-23,NA,0.91,3.11,4.77,NA
Q1,1993-03-02,20,1.24,3.17,5.15,NA
Q1,1993-03-09,194,1.1,3.81,6.84,NA
Q1,1993-03-16,63,1,3.14,4.64,NA
Q1,1993-03-23,135,1.05,3.15,5.39,NA
Q1,1993-03-30,177,1.46,4.72,8.59,NA
Q1,1993-04-06,163,1.23,3.62,6.48,NA
Q1,1993-04-13,172,1.28,4.18,7.18,NA
Q1,1993-04-20,138,1.56,4.31,7.3,NA
Q1,1993-04-27,183,0.84,3.49,1.16,NA
Q1,1993-05-04,9,1.05,2.62,4.58,NA
Q1,1993-05-11,12,1.08,2.68,4.01,NA
Q1,1993-05-18,10,1.07,2.96,4.79,NA
Q1,1993-05-25,6,1.64,3.99,6.99,NA
Q1,1993-06-01,17,1.35,3.75,6.76,NA
Q1,1993-06-08,75,1.11,3.3,5.97,NA
Q1,1993-06-15,37,1,3.15,5.77,NA
Q1,1993-06-22,26,1.12,2.59,4.54,NA
Q1,1993-06-29,17,1.19,3.2,5.43,NA
Q1,1993-07-06,55,0.86,3.38,6.24,NA
Q1,1993-07-13,NA,1.06,3.11,5.24,NA
Q1,1993-07-20,NA,0.92,3.29,5.83,NA
Q1,1993-07-27,NA,1.05,1.6,5.21,NA
Q1,1993-08-03,NA,1.1,3.13,5.61,NA
Q1,1993-08-10,61,0.87,3.16,5.48,NA
Q1,1993-08-17,6,1.17,3.22,5.77,NA
Q1,1993-08-24,11,0.98,3.18,5.27,NA
Q1,1993-08-31,21,1.05,2.91,5.26,NA
Q1,1993-09-07,124,0.83,3.52,5.54,NA
Q1,1993-09-14,9,1.49,4.66,8.01,NA
Q1,1993-09-21,192,1.02,3.25,5.98,NA
Q1,1993-09-28,9,1.01,2.56,4.24,NA
Q1,1993-10-05,9,1.08,3.22,6.03,NA
Q1,1993-10-13,7,1.21,3.01,5.24,NA
Q1,1993-10-19,7,1.43,3.41,5.78,NA
Q1,1993-10-26,8,1.05,3.35,5.73,NA
Q1,1993-11-02,6,0.87,3.36,6.46,NA
Q1,1993-11-09,8,0.93,3.12,5.82,NA
Q1,1993-11-16,6,1.5,2.78,4.82,NA
Q1,1993-11-23,22,1.48,4.46,7.79,NA
Q1,1993-11-30,16,1.02,2.49,4.55,NA
Q1,1993-12-07,25,0.84,3.21,5.69,NA
Q1,1993-12-14,14,1.03,3.28,5.84,NA
Q1,1993-12-21,50,1.3,3.9,6.76,NA
Q1,1993-12-28,NA,1.16,2.78,4.5,NA
Q1,1994-01-04,NA,1.34,4.28,7.26,NA
Q1,1994-01-11,NA,0.95,1.34,3.99,NA
Q1,1994-01-18,NA,0.85,1.58,5.11,NA
Q1,1994-01-25,NA,0.89,3.26,5.64,NA
Q1,1994-02-01,9,0.94,2.61,4.08,NA
Q1,1994-02-08,17,1.09,3.15,5.49,NA
Q1,1994-02-15,NA,0.8,3.06,4.99,NA
Q1,1994-02-22,21,1.36,2.72,4.4,NA
Q1,1994-03-01,NA,1.21,3.36,5.64,NA
Q1,1994-03-08,NA,0.95,3.38,6.08,NA
Q1,1994-03-15,7,0.96,3.44,6.29,NA
Q1,1994-03-22,NA,1.07,3.47,6.24,NA
Q1,1994-03-29,NA,0.94,3.5,6.7,NA
Q1,1994-04-05,NA,0.93,3.53,6.2,NA
Q1,1994-04-12,142,1.02,3.3,6,NA
Q1,1994-04-19,177,1.15,3.39,6.17,NA
Q1,1994-04-26,17,1.01,3.56,6.67,NA
Q1,1994-05-03,19,0.89,3.48,6.46,NA
Q1,1994-05-10,14,1.35,3.02,5.33,NA
Q1,1994-05-17,25,1.1,2.88,5.49,NA
Q1,1994-05-24,18,1.14,3.44,6.62,NA
Q1,1994-05-31,16,1.23,4.48,7.7,NA
Q1,1994-06-07,17,1.13,3.94,6.86,NA
Q1,1994-06-14,20,1.22,4.53,7.75,NA
Q1,1994-06-21,11,1.34,3.97,6.94,NA
Q1,1994-06-28,NA,1.15,3.49,6.22,NA
Q1,1994-06-30,152,1.14,2.33,4.35,NA
Q1,1994-07-05,13,0.98,3.56,6.37,NA
Q1,1994-07-12,102,1.28,4.6,7.98,NA
Q1,1994-07-19,112,1.49,4.16,7.06,NA
Q1,1994-07-26,NA,1.05,3.41,6.23,NA
Q1,1994-08-02,NA,1.17,3.47,5.75,NA
Q1,1994-08-09,NA,1.05,3.24,5.66,NA
Q1,1994-08-16,NA,1.07,3.53,5.94,NA
Q1,1994-08-23,NA,1.05,3.26,6.4,NA
Q1,1994-08-30,NA,1.37,5.12,8.92,NA
Q1,1994-09-06,NA,1.79,3.73,6.67,NA
Q1,1994-09-13,NA,0.89,3.38,6.15,NA
Q1,1994-09-20,NA,1.7,1.45,2.42,NA
Q1,1994-09-27,NA,0.88,3.39,6.45,NA
Q1,1994-10-04,NA,0.84,3.45,6.41,NA
Q1,1994-10-11,NA,1.22,3.33,6.4,NA
Q1,1994-10-18,NA,0.94,3.44,6.6,NA
Q1,1994-10-25,NA,1.35,2.82,5.06,NA
Q1,1994-11-01,NA,1.21,3.52,6.62,NA
Q1,1994-11-08,NA,1.36,2.11,3.78,NA
Q1,1994-11-15,NA,1.25,3.4,6.29,NA
Q1,1994-11-22,NA,1.03,3.19,5.68,NA
Q1,1994-11-29,NA,1.01,3.02,5.4,NA
Q1,1994-12-06,109,0.65,2.03,3.67,NA
Q1,1994-12-13,NA,0.99,3.18,5.76,NA
Q1,1994-12-20,NA,1.45,3.67,7.83,NA
Q1,1994-12-27,NA,0.94,3.28,5.78,NA
Q2,1988-01-05,255,0.77,2.57,5.01,18
Q2,1988-01-12,233,0.77,2.54,5.27,11
Q2,1988-01-19,221,0.74,2.61,5.28,18
Q2,1988-01-26,195,0.71,2.74,5.52,17
Q2,1988-01-29,183,0.87,1.86,4.05,14
Q2,1988-01-29,306,1.12,1.59,3.66,12
Q2,1988-01-29,364,0.99,1.58,3.75,31
Q2,1988-01-29,333,1.1,1.5,3.45,12
Q2,1988-01-29,268,1.03,1.74,3.96,14
Q2,1988-01-29,NA,0.84,1.94,4.07,41
Q2,1988-01-29,331,0.98,1.53,3.54,23
Q2,1988-01-29,NA,0.84,1.98,4.07,7
Q2,1988-02-02,223,0.9,1.64,3.6,12
Q2,1988-02-02,153,0.81,1.77,4.02,30
Q2,1988-02-03,282,0.91,2.48,5.42,16
Q2,1988-02-04,NA,NA,NA,NA,NA
Q2,1988-02-09,NA,NA,NA,NA,NA
Q2,1988-02-10,NA,NA,NA,NA,NA
Q2,1988-02-16,31,0.64,2.45,4.51,19
Q2,1988-02-23,231,0.82,2.73,5.15,19
Q2,1988-03-01,218,0.77,2.73,5.15,19
Q2,1988-03-08,209,0.7,2.56,4.91,27
Q2,1988-03-15,191,0.72,2.62,4.9,27
Q2,1988-03-23,139,0.82,1.35,1.73,9
Q2,1988-03-29,287,0.97,1.69,3.51,12
Q2,1988-04-05,174,0.78,2.64,4.85,NA
Q2,1988-04-12,173,0.69,2.71,4.77,NA
Q2,1988-04-19,212,0.77,2.16,4.05,23
Q2,1988-04-26,182,0.79,2.55,4.73,34
Q2,1988-05-03,164,0.81,2.57,4.74,58
Q2,1988-05-10,NA,NA,NA,NA,NA
Q2,1988-05-10,NA,NA,NA,NA,NA
Q2,1988-05-10,NA,NA,NA,NA,NA
Q2,1988-05-10,415,1.27,0.9,2.48,38
Q2,1988-05-10,162,0.77,2.66,4.35,54
Q2,1988-05-17,234,0.75,1.13,1.36,117
Q2,1988-05-24,213,0.67,2.37,4.26,54
Q2,1988-05-31,224,0.83,2.19,3.58,69
Q2,1988-06-07,188,0.72,2.63,4.36,71
Q2,1988-06-14,NA,0.69,2.59,4.12,118
Q2,1988-06-21,NA,0.73,1.88,3.48,NA
Q2,1988-06-28,NA,0.71,2.41,4.05,NA
Q2,1988-07-05,NA,0.83,2.43,3.83,NA
Q2,1988-07-12,NA,0.71,2.59,4.53,NA
Q2,1988-07-19,NA,0.77,1.84,3.36,NA
Q2,1988-07-22,NA,0.81,2.23,3.8,NA
Q2,1988-07-26,NA,0.8,1.88,3.38,NA
Q2,1988-07-26,NA,0.71,1.61,3.1,NA
Q2,1988-08-02,NA,0.77,2.55,1.32,NA
Q2,1988-08-09,NA,0.77,2.61,4.21,17
Q2,1988-08-16,NA,0.86,2.88,3.9,14
Q2,1988-08-23,NA,0.73,2.53,4.35,NA
Q2,1988-08-24,70,0.81,1.8,3.44,11
Q2,1988-08-24,238,0.87,1.14,2.75,NA
Q2,1988-08-24,172,0.95,1.15,2.47,NA
Q2,1988-08-24,133,0.82,0.55,1.04,NA
Q2,1988-08-24,NA,NA,NA,NA,NA
Q2,1988-08-30,241,0.69,2.43,4.92,NA
Q2,1988-09-06,216,0.7,2.64,5.12,NA
Q2,1988-09-13,240,0.73,2.29,4.25,NA
Q2,1988-09-20,227,0.75,2.54,4.73,NA
Q2,1988-09-27,246,0.68,2.63,4.78,17
Q2,1988-10-04,9,0.72,2.13,3.91,NA
Q2,1988-10-11,240,0.78,NA,NA,63
Q2,1988-10-18,235,NA,NA,NA,61
Q2,1988-10-25,NA,0.83,2.32,5.05,NA
Q2,1988-11-01,218,0.81,2.33,3.9,NA
Q2,1988-11-07,225,0.86,2.35,5.23,NA
Q2,1988-11-15,224,0.83,2.34,4.98,NA
Q2,1988-11-22,224,0.8,2.25,4.87,NA
Q2,1988-11-29,208,0.82,2.59,4.2,NA
Q2,1988-12-06,239,0.96,2.62,3.96,NA
Q2,1988-12-13,220,0.87,2.25,1.3,NA
Q2,1988-12-20,214,0.83,2.33,4.05,NA
Q2,1988-12-27,227,0.83,2.42,5.21,NA
Q2,1989-01-03,9,0.91,2.5,3.96,NA
Q2,1989-01-10,421,1,1.97,4.92,NA
Q2,1989-01-17,139,1,2.54,3.93,NA
Q2,1989-01-24,222,0.94,2.66,4.08,NA
Q2,1989-01-31,246,0.94,2.69,4.08,NA
Q2,1989-02-07,245,0.94,2.55,5.08,NA
Q2,1989-02-14,249,0.78,2.69,5.09,NA
Q2,1989-02-21,228,0.86,2.36,4.65,NA
Q2,1989-02-28,235,0.9,2.25,4.59,NA
Q2,1989-03-07,237,0.89,2.59,5.04,NA
Q2,1989-03-09,NA,NA,NA,NA,NA
Q2,1989-03-14,61,NA,NA,NA,NA
Q2,1989-03-14,466,0.86,2.35,4.79,NA
Q2,1989-03-21,229,0.86,5.57,4.66,NA
Q2,1989-03-28,217,0.5,2.61,4.66,NA
Q2,1989-04-04,224,0.86,2.49,4.13,NA
Q2,1989-04-11,209,0.9,2.23,4.95,NA
Q2,1989-04-18,143,0.91,2.47,4.11,NA
Q2,1989-04-25,162,0.94,2.51,4.2,NA
Q2,1989-05-02,151,0.97,2.62,4.23,NA
Q2,1989-05-09,194,0.98,2.36,5.1,NA
Q2,1989-05-16,186,0.97,3.03,4.17,NA
Q2,1989-05-23,166,0.85,2.74,4.41,NA
Q2,1989-05-30,156,0.97,2.8,4.23,NA
Q2,1989-06-06,199,1.02,2.76,4.44,NA
Q2,1989-06-13,167,0.83,2.62,5.19,NA
Q2,1989-06-20,185,0.9,2.64,5.25,NA
Q2,1989-06-27,86,0.88,2.86,4.72,NA
Q2,1989-07-05,211,0.95,1.25,2.98,NA
Q2,1989-07-11,198,1.1,2.5,5.07,NA
Q2,1989-07-18,132,1.07,2.48,5.25,NA
Q2,1989-07-26,200,1.03,2.51,5.03,NA
Q2,1989-08-01,226,0.98,2.49,4.91,NA
Q2,1989-08-08,139,1.09,2.87,5.2,NA
Q2,1989-08-15,145,0.98,2.76,5.05,NA
Q2,1989-08-22,247,0.96,1.49,3.24,NA
Q2,1989-08-29,149,0.96,2.59,5.03,NA
Q2,1989-09-05,32,0.98,2.8,5.56,NA
Q2,1989-09-12,8,0.98,2.85,5.24,NA
Q2,1989-09-20,NA,NA,NA,NA,NA
Q2,1989-09-22,NA,1.13,2.51,4.89,NA
Q2,1989-09-26,NA,1.35,2.72,5.15,NA
Q2,1989-09-26,106,1.48,2.73,5.2,NA
Q2,1989-10-03,113,1.18,2.88,5.49,NA
Q2,1989-10-05,NA,1.1,NA,NA,NA
Q2,1989-10-10,NA,1.09,2.9,5.51,NA
Q2,1989-10-17,171,1.3,2.94,5.63,NA
Q2,1989-10-24,383,1.34,2.97,5.71,NA
Q2,1989-10-31,443,1.37,3.45,6.02,NA
Q2,1989-11-07,624,1.82,3.05,5.31,NA
Q2,1989-11-08,1204,2.44,2.92,5.45,NA
Q2,1989-11-14,424,1.6,3.02,5.25,NA
Q2,1989-11-21,304,1.37,3.09,5.4,NA
Q2,1989-11-28,290,1.06,3.22,6.86,NA
Q2,1989-12-05,262,0.96,3.17,6.77,NA
Q2,1989-12-12,265,1.05,3.14,6.85,NA
Q2,1989-12-19,263,0.93,3.13,6.91,NA
Q2,1989-12-26,164,0.79,3.19,5.89,NA
Q2,1990-01-02,NA,2.42,3.28,6.84,NA
Q2,1990-01-09,275,1.21,2.85,6.15,NA
Q2,1990-01-16,385,1.2,3.13,6.75,NA
Q2,1990-01-23,10,1.24,3,6.5,NA
Q2,1990-01-30,13,1.23,3,6.66,NA
Q2,1990-02-06,277,1.08,3.06,6.8,NA
Q2,1990-02-13,288,1.29,3.3,6.8,NA
Q2,1990-02-20,57,1.43,3.19,6.66,NA
Q2,1990-02-27,253,1.34,3.27,6.94,NA
Q2,1990-03-06,191,1.17,3.36,7.06,NA
Q2,1990-03-13,151,1.93,1.93,4.31,NA
Q2,1990-03-20,NA,1.34,3.22,6.79,NA
Q2,1990-03-27,274,1.24,3.14,6.75,NA
Q2,1990-04-03,NA,1.12,3.33,7.01,NA
Q2,1990-04-10,111,1.08,3.41,7.31,NA
Q2,1990-04-17,53,1.02,3.32,7.17,NA
Q2,1990-04-24,10,1.05,3.34,7.25,NA
Q2,1990-04-25,840,1.64,0.42,0.79,NA
Q2,1990-04-25,1059,1.99,0.51,1.03,NA
Q2,1990-04-25,1338,1.92,0.63,1.17,NA
Q2,1990-04-26,711,1.56,2.23,4.58,NA
Q2,1990-05-01,332,1.05,3.14,6.67,NA
Q2,1990-05-08,10,1.23,3.2,6.8,NA
Q2,1990-05-10,736,1.63,1.81,3.99,NA
Q2,1990-05-15,274,1.26,3.09,6.66,NA
Q2,1990-05-22,235,1.25,3.32,7.13,NA
Q2,1990-05-29,359,1.29,3.12,5.2,NA
Q2,1990-06-05,144,1.22,3.26,6.82,NA
Q2,1990-06-12,261,1.26,3.41,6.99,NA
Q2,1990-06-19,503,1.22,3.25,6.78,NA
Q2,1990-06-26,294,1.22,2.9,6.06,NA
Q2,1990-07-03,199,1.04,3.43,7.54,NA
Q2,1990-07-10,212,1.08,3.46,7.25,NA
Q2,1990-07-17,137,0.97,3.6,7.82,NA
Q2,1990-07-24,236,1.24,1.94,4.1,NA
Q2,1990-07-31,109,0.93,3.63,7.63,NA
Q2,1990-08-07,107,0.93,3.68,8.2,NA
Q2,1990-08-14,415,1.14,2.75,5.47,NA
Q2,1990-08-21,212,0.95,3.33,7.35,NA
Q2,1990-08-28,159,0.84,3.44,7.28,NA
Q2,1990-09-04,10,0.88,3.73,8.31,NA
Q2,1990-09-11,15,0.9,3.27,7.37,NA
Q2,1990-09-18,22,0.85,3.25,7.16,NA
Q2,1990-09-25,22,0.88,3.19,7.43,NA
Q2,1990-10-02,128,0.96,2.38,6.12,NA
Q2,1990-10-09,101,0.97,2.81,6.53,NA
Q2,1990-10-16,97,0.91,3.27,6.67,NA
Q2,1990-10-23,172,0.93,3.14,6.45,NA
Q2,1990-10-30,100,1,1.54,3.29,NA
Q2,1990-11-06,252,0.54,1.99,4.17,NA
Q2,1990-11-13,170,0.86,3.37,6.61,NA
Q2,1990-11-20,253,0.84,3.38,6.94,NA
Q2,1990-11-27,205,0.89,3.16,6.99,NA
Q2,1990-12-04,289,1.13,1.62,3.8,NA
Q2,1990-12-04,8,0.94,2.84,6.28,NA
Q2,1990-12-11,7,0.77,3.3,7.42,NA
Q2,1990-12-14,300,2.16,2.32,5.33,NA
Q2,1990-12-18,252,0.72,3.35,7.37,NA
Q2,1990-12-25,235,0.89,3.37,7.1,NA
Q2,1990-12-31,267,1.18,2.33,5.15,NA
Q2,1991-01-08,340,1.13,3.15,7.06,NA
Q2,1991-01-15,NA,0.78,3.29,7.06,NA
Q2,1991-01-22,138,0.74,3.41,7.46,NA
Q2,1991-01-29,95,0.75,3.25,7.07,NA
Q2,1991-02-05,5,0.86,3.03,6.8,NA
Q2,1991-02-12,63,0.89,3.39,7.42,NA
Q2,1991-02-19,71,0.98,2.4,5.56,NA
Q2,1991-02-26,229,0.87,2.28,6.71,NA
Q2,1991-03-05,NA,0.79,3.14,6.81,NA
Q2,1991-03-12,272,0.8,3.04,6.9,NA
Q2,1991-03-19,212,0.8,3.11,7.2,NA
Q2,1991-03-22,NA,NA,NA,NA,NA
Q2,1991-03-26,158,0.76,3.11,7.02,NA
Q2,1991-04-02,191,0.78,3.18,7.06,NA
Q2,1991-04-09,18,0.76,2.93,6.66,NA
Q2,1991-04-15,29,1,2.8,6.08,NA
Q2,1991-04-23,19,1.02,2.93,6.62,NA
Q2,1991-04-30,42,0.96,1.94,4.1,NA
Q2,1991-05-07,18,1.02,3.09,3.08,NA
Q2,1991-05-14,10,0.93,3.19,3.14,NA
Q2,1991-05-21,19,0.98,3.1,3.7,NA
Q2,1991-05-28,10,0.98,2.01,3.71,NA
Q2,1991-05-31,NA,1.08,3.08,3.02,NA
Q2,1991-06-01,NA,NA,NA,NA,NA
Q2,1991-06-04,77,1.02,3.19,3.14,NA
Q2,1991-06-11,91,1.1,3.01,3.66,NA
Q2,1991-06-18,86,1.05,3,3.6,NA
Q2,1991-06-25,35,1.04,3.26,3.17,NA
Q2,1991-07-02,245,1.13,3.22,3.27,NA
Q2,1991-07-09,118,1.15,3,3.15,NA
Q2,1991-07-16,NA,1.25,3.18,7.02,NA
Q2,1991-07-23,10,0.72,2.19,7.08,NA
Q2,1991-07-30,10,0.8,2.94,6.91,NA
Q2,1991-08-06,134,0.93,3.87,6.71,NA
Q2,1991-08-13,10,0.89,4.15,6.94,NA
Q2,1991-08-20,10,0.9,3.94,7.63,NA
Q2,1991-08-27,26,1.34,3.19,6.22,NA
Q2,1991-08-27,17,1.49,0.4,0.92,NA
Q2,1991-09-03,128,2.78,3.88,9.01,NA
Q2,1991-09-10,137,1.63,3.99,8.27,NA
Q2,1991-09-17,120,1.23,3.02,5.67,NA
Q2,1991-09-24,73,1.26,3.34,7,NA
Q2,1991-10-01,122,1.22,2.46,5.18,NA
Q2,1991-10-08,125,1.1,2.95,5.43,NA
Q2,1991-10-15,124,1.25,2.69,4.94,NA
Q2,1991-10-22,117,1.13,2.96,4.78,NA
Q2,1991-10-29,38,1.05,2.87,4.84,NA
Q2,1991-11-05,156,0.74,2.93,3.31,NA
Q2,1991-11-07,199,1.62,1.47,2.38,NA
Q2,1991-11-08,283,1.54,1.65,2.47,NA
Q2,1991-11-12,399,1.43,3.02,5.32,NA
Q2,1991-11-18,262,1.74,3.56,7.67,NA
Q2,1991-11-22,152,1.3,1.46,2.43,NA
Q2,1991-11-26,286,1.36,3.1,5.55,NA
Q2,1991-12-03,10,1.03,2.72,4.14,NA
Q2,1991-12-10,431,1.15,3.1,6.17,NA
Q2,1991-12-17,320,1.18,3.17,5.8,NA
Q2,1991-12-23,294,1.28,3.24,7.03,NA
Q2,1991-12-30,196,0.91,3.62,5.46,NA
Q2,1992-01-07,451,1.37,2.32,4.66,NA
Q2,1992-01-14,374,1.24,2.92,6.33,NA
Q2,1992-01-21,303,1.27,3.27,6.91,NA
Q2,1992-01-28,300,1.35,3.26,7.19,NA
Q2,1992-02-04,469,1.47,2.23,3.42,NA
Q2,1992-02-06,207,1.72,2.35,5.4,NA
Q2,1992-02-11,19,1.16,3.03,6.02,NA
Q2,1992-02-18,236,1.24,3.32,7.07,NA
Q2,1992-02-25,207,1.17,3.28,7.58,NA
Q2,1992-03-03,10,0.82,3.24,5.31,NA
Q2,1992-03-10,92,1.23,2.86,6.44,NA
Q2,1992-03-17,180,1.43,3,6.2,NA
Q2,1992-03-24,NA,1.25,3.12,6.17,NA
Q2,1992-04-01,126,1.35,2.77,5.28,NA
Q2,1992-04-07,68,1.02,3.34,5.63,NA
Q2,1992-04-14,11,0.78,3.35,3.94,NA
Q2,1992-04-21,11,1.05,3.13,6.12,NA
Q2,1992-04-28,27,1.16,3.09,6.32,NA
Q2,1992-05-05,353,1.12,2.12,4.2,NA
Q2,1992-05-12,276,1.21,2.9,6.35,NA
Q2,1992-05-19,209,1.36,2.56,6.28,NA
Q2,1992-05-26,NA,1.35,2.42,4.98,NA
Q2,1992-06-02,43,1.16,1.47,3.14,NA
Q2,1992-06-09,26,1.43,3.28,6.77,NA
Q2,1992-06-16,28,1.32,2.11,4.56,NA
Q2,1992-06-23,37,1.11,2.39,4.56,NA
Q2,1992-06-30,29,1.29,3.8,7.8,NA
Q2,1992-07-07,28,1.23,3.42,7.2,NA
Q2,1992-07-14,42,1.23,3.72,7.76,NA
Q2,1992-07-21,142,1.21,3.43,6.86,NA
Q2,1992-07-28,147,1.36,3.27,7.05,NA
Q2,1992-08-04,193,1.24,3.35,7.2,NA
Q2,1992-08-11,26,1.38,1.99,4.42,NA
Q2,1992-08-18,170,1.03,3.46,7.32,NA
Q2,1992-08-25,197,1.1,2.9,6.31,NA
Q2,1992-09-01,10,1.39,4.16,8.16,NA
Q2,1992-09-08,10,1.39,2.5,5.7,NA
Q2,1992-09-15,10,1.06,3.15,6.47,NA
